model,cohort,log_rr,std_error,rr,conf_low,conf_high,p_value
raw,C1,0.76958132642587,0.184796323741591,2.15886220599182,1.50287588907018,3.1011782532112,3.12057560672918e-05
raw,C2,1.04671419666098,0.0952000500295164,2.84827684791587,2.36344924994127,3.43255984979376,4.04400725496855e-28
raw,C3,0.879431731947974,0.0644647313178006,2.40953005833789,2.12353225152525,2.73404611484648,2.2511057400638e-42
raw,C4,0.653936622860669,0.0624476753026165,1.92309645289533,1.70154928348501,2.17348977372196,1.16466129857178e-25
main,C1,-0.276529967487094,0.18713893822185,0.75841089112253,0.525543514390838,1.09446137954908,0.139495594728842
main,C2,0.0520405292227885,0.0957274605842581,1.05341843587867,0.873204681049128,1.27082507129464,0.586694602545085
main,C3,-0.0619944876752768,0.06546792416599,0.939888067745042,0.826701477878766,1.06857142938246,0.343667084255668
main,C4,-0.259264009359848,0.06376734193596,0.771619281437502,0.680962527833513,0.874345196908829,4.78719964249072e-05
topic_cohort_fe,C1,-0.347828177985128,0.187243670805934,0.706220209969601,0.489277349810648,1.01935432973246,0.0632225483753614
topic_cohort_fe,C2,0.0135886992931363,0.0964472744285816,1.01368144529038,0.839081063001476,1.22461358959807,0.887954853411144
topic_cohort_fe,C3,-0.0791644207301741,0.0657192235217333,0.923888005615644,0.812228074094666,1.05089823184438,0.228363374713723
topic_cohort_fe,C4,-0.260333944479959,0.0637317791703049,0.770794140371357,0.680281747780457,0.873349327347464,4.41077242289008e-05
citation_count,C1,-0.197741820397755,0.1931375194609,0.820581683244137,0.561978684051851,1.19818476747359,0.305911092297864
citation_count,C2,0.0782133332295792,0.0982786844769929,1.0813533226617,0.891889629015567,1.3110646994765,0.426129623212699
citation_count,C3,-0.00735965072998937,0.0691632552218575,0.992667365182923,0.866823731883072,1.13678071060487,0.915257188417386
citation_count,C4,-0.22741625858048,0.0651772966515434,0.796589126208682,0.70105862843453,0.905137188612709,0.000484478670345656
pre2005_targets,C1,-0.388564041336083,0.324778506023829,0.67802979855525,0.358749856057159,1.28146227787093,0.231541658211087
pre2005_targets,C2,0.197340912366929,0.256302419948065,1.21815925548104,0.737114653734653,2.01313589981663,0.441327552708934
pre2005_targets,C3,0.515920084963469,0.298721483535673,1.67517910004928,0.932791083052451,3.0084174990812,0.0841507811519434
pre2005_targets,C4,0.607727634216427,0.347811328649539,1.83625401351525,0.928687880788793,3.63074491645886,0.0805868585146029
access_among_D1,C1,0.0911859882189156,0.71809559538757,1.09547273133472,0.268130526263118,4.47565788880129,0.898953792780749
access_among_D1,C2,-0.601580228416794,0.431013817796545,0.547945073215173,0.235423958549903,1.27533240503701,0.16279489935674
access_among_D1,C3,0.207626095770872,0.189846397247969,1.23075289979158,0.848340795162337,1.78554739909157,0.274107162838872
access_among_D1,C4,0.291549599516269,0.192682432599169,1.33850002079761,0.917495165407334,1.95268855163919,0.130251872912875
