paper_uid_after_direct_w,cohort,target_year,target_topic,partial,eng_cite_count,Y_jc,obs_start,obs_end,age_jc,age_bin,N_topic_jc,ln_offset
P00026505,C4,2003.0,1,0,0,0,2020.0,2024,19.0,11+,9,2.302585092994046
P00026521,C1,2002.0,13,1,0,0,2002.0,2009,3.5,3-5,1,0.6931471805599453
P00026521,C2,2002.0,13,0,0,0,2010.0,2014,10.0,6-10,1,0.6931471805599453
P00026521,C3,2002.0,13,0,0,0,2015.0,2019,15.0,11+,2,1.0986122886681098
P00026521,C4,2002.0,13,0,0,0,2020.0,2024,20.0,11+,8,2.1972245773362196
P00026522,C1,2001.0,13,1,0,0,2001.0,2009,4.0,3-5,1,0.6931471805599453
P00026522,C2,2001.0,13,0,0,0,2010.0,2014,11.0,11+,1,0.6931471805599453
P00026522,C3,2001.0,13,0,0,0,2015.0,2019,16.0,11+,2,1.0986122886681098
P00026522,C4,2001.0,13,0,0,0,2020.0,2024,21.0,11+,8,2.1972245773362196
P00026523,C1,2005.0,-1,1,0,0,2005.0,2009,2.0,0-2,7,2.0794415416798357
P00026523,C2,2005.0,-1,0,0,0,2010.0,2014,7.0,6-10,57,4.060443010546419
P00026523,C3,2005.0,-1,0,0,0,2015.0,2019,12.0,11+,66,4.204692619390966
P00026523,C4,2005.0,-1,0,0,0,2020.0,2024,17.0,11+,79,4.382026634673881
P00026524,C1,2007.0,-1,1,1,1,2007.0,2009,1.0,0-2,7,2.0794415416798357
P00026524,C2,2007.0,-1,0,0,0,2010.0,2014,5.0,3-5,57,4.060443010546419
P00026524,C3,2007.0,-1,0,0,0,2015.0,2019,10.0,6-10,66,4.204692619390966
P00026524,C4,2007.0,-1,0,0,0,2020.0,2024,15.0,11+,79,4.382026634673881
P00026535,C1,2009.0,-1,1,0,0,2009.0,2009,0.0,0-2,3,1.3862943611198906
P00026535,C2,2009.0,-1,0,0,0,2010.0,2014,3.0,3-5,57,4.060443010546419
P00026535,C3,2009.0,-1,0,0,0,2015.0,2019,8.0,6-10,66,4.204692619390966
P00026535,C4,2009.0,-1,0,0,0,2020.0,2024,13.0,11+,79,4.382026634673881
