paper_uid_after_direct_w,cohort,target_year,target_topic,partial,eng_cite_count,Y_jc,obs_start,obs_end,age_jc,age_bin,N_topic_jc,ln_offset
P00000054,C3,2019.0,7,1,0,0,2019.0,2019,0.0,0-2,1,0.6931471805599453
P00000054,C4,2019.0,7,0,1,1,2020.0,2024,3.0,3-5,9,2.302585092994046
P00000055,C3,2016.0,0,1,0,0,2016.0,2019,1.5,0-2,50,3.9318256327243257
P00000055,C4,2016.0,0,0,1,1,2020.0,2024,6.0,6-10,61,4.127134385045092
P00000056,C4,2020.0,7,1,1,1,2020.0,2024,2.0,0-2,9,2.302585092994046
P00000060,C3,2017.0,7,1,0,0,2017.0,2019,1.0,0-2,8,2.1972245773362196
P00000060,C4,2017.0,7,0,1,1,2020.0,2024,5.0,3-5,9,2.302585092994046
P00000061,C3,2018.0,7,1,0,0,2018.0,2019,0.5,0-2,4,1.6094379124341003
P00000061,C4,2018.0,7,0,1,1,2020.0,2024,4.0,3-5,9,2.302585092994046
P00000069,C3,2017.0,7,1,0,0,2017.0,2019,1.0,0-2,8,2.1972245773362196
P00000069,C4,2017.0,7,0,1,1,2020.0,2024,5.0,3-5,9,2.302585092994046
P00000070,C4,2020.0,7,1,1,1,2020.0,2024,2.0,0-2,9,2.302585092994046
P00000072,C2,2013.0,-1,1,0,0,2013.0,2014,0.5,0-2,27,3.332204510175204
P00000072,C3,2013.0,-1,0,0,0,2015.0,2019,4.0,3-5,66,4.204692619390966
P00000072,C4,2013.0,-1,0,1,1,2020.0,2024,9.0,6-10,79,4.382026634673881
P00000073,C2,2012.0,7,1,0,0,2012.0,2014,1.0,0-2,7,2.0794415416798357
P00000073,C3,2012.0,7,0,0,0,2015.0,2019,5.0,3-5,14,2.70805020110221
P00000073,C4,2012.0,7,0,1,1,2020.0,2024,10.0,6-10,9,2.302585092994046
P00000076,C3,2019.0,7,1,0,0,2019.0,2019,0.0,0-2,1,0.6931471805599453
P00000076,C4,2019.0,7,0,1,1,2020.0,2024,3.0,3-5,9,2.302585092994046
P00000077,C2,2013.0,3,1,0,0,2013.0,2014,0.5,0-2,2,1.0986122886681098
P00000077,C3,2013.0,3,0,0,0,2015.0,2019,4.0,3-5,6,1.9459101490553132
P00000077,C4,2013.0,3,0,1,1,2020.0,2024,9.0,6-10,10,2.3978952727983707
P00000078,C1,2008.0,7,1,0,0,2008.0,2009,0.5,0-2,3,1.3862943611198906
P00000078,C2,2008.0,7,0,1,1,2010.0,2014,4.0,3-5,13,2.6390573296152584
P00000078,C3,2008.0,7,0,1,1,2015.0,2019,9.0,6-10,14,2.70805020110221
P00000078,C4,2008.0,7,0,1,1,2020.0,2024,14.0,11+,9,2.302585092994046
P00000079,C3,2018.0,7,1,0,0,2018.0,2019,0.5,0-2,4,1.6094379124341003
P00000079,C4,2018.0,7,0,1,1,2020.0,2024,4.0,3-5,9,2.302585092994046
P00000080,C3,2019.0,7,1,0,0,2019.0,2019,0.0,0-2,1,0.6931471805599453
P00000080,C4,2019.0,7,0,1,1,2020.0,2024,3.0,3-5,9,2.302585092994046
P00000085,C3,2016.0,13,1,0,0,2016.0,2019,1.5,0-2,2,1.0986122886681098
P00000085,C4,2016.0,13,0,1,1,2020.0,2024,6.0,6-10,8,2.1972245773362196
P00000087,C3,2016.0,7,1,0,0,2016.0,2019,1.5,0-2,11,2.4849066497880004
P00000087,C4,2016.0,7,0,2,1,2020.0,2024,6.0,6-10,9,2.302585092994046
P00000104,C3,2016.0,-1,1,0,0,2016.0,2019,1.5,0-2,50,3.9318256327243257
P00000104,C4,2016.0,-1,0,1,1,2020.0,2024,6.0,6-10,79,4.382026634673881
P00000105,C3,2015.0,19,1,0,0,2015.0,2019,2.0,0-2,4,1.6094379124341003
P00000105,C4,2015.0,19,0,1,1,2020.0,2024,7.0,6-10,4,1.6094379124341003
P00000110,C3,2018.0,10,1,0,0,2018.0,2019,0.5,0-2,0,0.0
P00000110,C4,2018.0,10,0,1,1,2020.0,2024,4.0,3-5,0,0.0
P00000121,C4,2021.0,19,1,1,1,2021.0,2024,1.5,0-2,3,1.3862943611198906
P00000186,C1,2009.0,4,1,0,0,2009.0,2009,0.0,0-2,0,0.0
P00000186,C2,2009.0,4,0,0,0,2010.0,2014,3.0,3-5,5,1.791759469228055
P00000186,C3,2009.0,4,0,0,0,2015.0,2019,8.0,6-10,12,2.5649493574615367
P00000186,C4,2009.0,4,0,1,1,2020.0,2024,13.0,11+,5,1.791759469228055
P00000200,C2,2010.0,4,1,0,0,2010.0,2014,2.0,0-2,5,1.791759469228055
P00000200,C3,2010.0,4,0,0,0,2015.0,2019,7.0,6-10,12,2.5649493574615367
P00000200,C4,2010.0,4,0,1,1,2020.0,2024,12.0,11+,5,1.791759469228055
P00000208,C1,2008.0,3,1,0,0,2008.0,2009,0.5,0-2,1,0.6931471805599453
P00000208,C2,2008.0,3,0,0,0,2010.0,2014,4.0,3-5,5,1.791759469228055
P00000208,C3,2008.0,3,0,0,0,2015.0,2019,9.0,6-10,6,1.9459101490553132
P00000208,C4,2008.0,3,0,1,1,2020.0,2024,14.0,11+,10,2.3978952727983707
P00000210,C2,2014.0,1,1,0,0,2014.0,2014,0.0,0-2,2,1.0986122886681098
P00000210,C3,2014.0,1,0,0,0,2015.0,2019,3.0,3-5,4,1.6094379124341003
P00000210,C4,2014.0,1,0,1,1,2020.0,2024,8.0,6-10,9,2.302585092994046
P00000211,C3,2017.0,3,1,0,0,2017.0,2019,1.0,0-2,5,1.791759469228055
P00000211,C4,2017.0,3,0,1,1,2020.0,2024,5.0,3-5,10,2.3978952727983707
P00000277,C2,2011.0,19,1,0,0,2011.0,2014,1.5,0-2,2,1.0986122886681098
P00000277,C3,2011.0,19,0,0,0,2015.0,2019,6.0,6-10,4,1.6094379124341003
P00000277,C4,2011.0,19,0,1,1,2020.0,2024,11.0,11+,4,1.6094379124341003
P00000355,C1,2006.0,-1,1,0,0,2006.0,2009,1.5,0-2,7,2.0794415416798357
P00000355,C2,2006.0,-1,0,0,0,2010.0,2014,6.0,6-10,57,4.060443010546419
P00000355,C3,2006.0,-1,0,0,0,2015.0,2019,11.0,11+,66,4.204692619390966
P00000355,C4,2006.0,-1,0,1,1,2020.0,2024,16.0,11+,79,4.382026634673881
P00000370,C1,2005.0,-1,1,0,0,2005.0,2009,2.0,0-2,7,2.0794415416798357
P00000370,C2,2005.0,-1,0,0,0,2010.0,2014,7.0,6-10,57,4.060443010546419
P00000370,C3,2005.0,-1,0,0,0,2015.0,2019,12.0,11+,66,4.204692619390966
P00000370,C4,2005.0,-1,0,1,1,2020.0,2024,17.0,11+,79,4.382026634673881
P00000390,C3,2017.0,0,1,0,0,2017.0,2019,1.0,0-2,36,3.6109179126442243
P00000390,C4,2017.0,0,0,1,1,2020.0,2024,5.0,3-5,61,4.127134385045092
P00000534,C2,2010.0,0,1,0,0,2010.0,2014,2.0,0-2,47,3.871201010907891
P00000534,C3,2010.0,0,0,0,0,2015.0,2019,7.0,6-10,59,4.0943445622221
P00000534,C4,2010.0,0,0,1,1,2020.0,2024,12.0,11+,61,4.127134385045092
P00000540,C1,2006.0,1,1,0,0,2006.0,2009,1.5,0-2,2,1.0986122886681098
P00000540,C2,2006.0,1,0,0,0,2010.0,2014,6.0,6-10,3,1.3862943611198906
P00000540,C3,2006.0,1,0,0,0,2015.0,2019,11.0,11+,4,1.6094379124341003
P00000540,C4,2006.0,1,0,1,1,2020.0,2024,16.0,11+,9,2.302585092994046
P00000550,C3,2016.0,0,1,0,0,2016.0,2019,1.5,0-2,50,3.9318256327243257
P00000550,C4,2016.0,0,0,1,1,2020.0,2024,6.0,6-10,61,4.127134385045092
P00000551,C1,2009.0,1,1,0,0,2009.0,2009,0.0,0-2,2,1.0986122886681098
P00000551,C2,2009.0,1,0,0,0,2010.0,2014,3.0,3-5,3,1.3862943611198906
P00000551,C3,2009.0,1,0,0,0,2015.0,2019,8.0,6-10,4,1.6094379124341003
P00000551,C4,2009.0,1,0,1,1,2020.0,2024,13.0,11+,9,2.302585092994046
P00000562,C2,2014.0,11,1,0,0,2014.0,2014,0.0,0-2,0,0.0
P00000562,C3,2014.0,11,0,0,0,2015.0,2019,3.0,3-5,9,2.302585092994046
P00000562,C4,2014.0,11,0,1,1,2020.0,2024,8.0,6-10,5,1.791759469228055
P00000563,C2,2013.0,0,1,0,0,2013.0,2014,0.5,0-2,20,3.044522437723423
P00000563,C3,2013.0,0,0,0,0,2015.0,2019,4.0,3-5,59,4.0943445622221
P00000563,C4,2013.0,0,0,1,1,2020.0,2024,9.0,6-10,61,4.127134385045092
P00000688,C4,2021.0,0,1,1,1,2021.0,2024,1.5,0-2,44,3.8066624897703196
P00000689,C4,2020.0,0,1,1,1,2020.0,2024,2.0,0-2,61,4.127134385045092
P00000690,C3,2017.0,0,1,0,0,2017.0,2019,1.0,0-2,36,3.6109179126442243
P00000690,C4,2017.0,0,0,2,1,2020.0,2024,5.0,3-5,61,4.127134385045092
P00000691,C3,2016.0,0,1,0,0,2016.0,2019,1.5,0-2,50,3.9318256327243257
P00000691,C4,2016.0,0,0,1,1,2020.0,2024,6.0,6-10,61,4.127134385045092
P00000692,C3,2018.0,0,1,0,0,2018.0,2019,0.5,0-2,26,3.295836866004329
P00000692,C4,2018.0,0,0,1,1,2020.0,2024,4.0,3-5,61,4.127134385045092
P00000696,C3,2017.0,0,1,0,0,2017.0,2019,1.0,0-2,36,3.6109179126442243
P00000696,C4,2017.0,0,0,1,1,2020.0,2024,5.0,3-5,61,4.127134385045092
P00000697,C3,2017.0,0,1,0,0,2017.0,2019,1.0,0-2,36,3.6109179126442243
P00000697,C4,2017.0,0,0,2,1,2020.0,2024,5.0,3-5,61,4.127134385045092
P00000699,C4,2020.0,0,1,1,1,2020.0,2024,2.0,0-2,61,4.127134385045092
P00000700,C4,2020.0,0,1,1,1,2020.0,2024,2.0,0-2,61,4.127134385045092
P00000701,C3,2017.0,0,1,0,0,2017.0,2019,1.0,0-2,36,3.6109179126442243
P00000701,C4,2017.0,0,0,3,1,2020.0,2024,5.0,3-5,61,4.127134385045092
P00000755,C2,2014.0,24,1,0,0,2014.0,2014,0.0,0-2,0,0.0
P00000755,C3,2014.0,24,0,0,0,2015.0,2019,3.0,3-5,0,0.0
P00000755,C4,2014.0,24,0,1,1,2020.0,2024,8.0,6-10,2,1.0986122886681098
P00000756,C2,2011.0,24,1,0,0,2011.0,2014,1.5,0-2,1,0.6931471805599453
P00000756,C3,2011.0,24,0,0,0,2015.0,2019,6.0,6-10,0,0.0
P00000756,C4,2011.0,24,0,1,1,2020.0,2024,11.0,11+,2,1.0986122886681098
P00000757,C2,2014.0,-1,1,0,0,2014.0,2014,0.0,0-2,13,2.6390573296152584
P00000757,C3,2014.0,-1,0,0,0,2015.0,2019,3.0,3-5,66,4.204692619390966
P00000757,C4,2014.0,-1,0,1,1,2020.0,2024,8.0,6-10,79,4.382026634673881
P00000765,C2,2014.0,0,1,0,0,2014.0,2014,0.0,0-2,8,2.1972245773362196
P00000765,C3,2014.0,0,0,0,0,2015.0,2019,3.0,3-5,59,4.0943445622221
P00000765,C4,2014.0,0,0,1,1,2020.0,2024,8.0,6-10,61,4.127134385045092
P00000777,C3,2019.0,24,1,0,0,2019.0,2019,0.0,0-2,0,0.0
P00000777,C4,2019.0,24,0,1,1,2020.0,2024,3.0,3-5,2,1.0986122886681098
P00000781,C1,2007.0,18,1,0,0,2007.0,2009,1.0,0-2,2,1.0986122886681098
P00000781,C2,2007.0,18,0,0,0,2010.0,2014,5.0,3-5,4,1.6094379124341003
P00000781,C3,2007.0,18,0,0,0,2015.0,2019,10.0,6-10,3,1.3862943611198906
P00000781,C4,2007.0,18,0,1,1,2020.0,2024,15.0,11+,2,1.0986122886681098
P00001061,C2,2014.0,0,1,0,0,2014.0,2014,0.0,0-2,8,2.1972245773362196
P00001061,C3,2014.0,0,0,0,0,2015.0,2019,3.0,3-5,59,4.0943445622221
P00001061,C4,2014.0,0,0,1,1,2020.0,2024,8.0,6-10,61,4.127134385045092
P00001157,C3,2016.0,0,1,0,0,2016.0,2019,1.5,0-2,50,3.9318256327243257
P00001157,C4,2016.0,0,0,2,1,2020.0,2024,6.0,6-10,61,4.127134385045092
P00001222,C2,2013.0,7,1,0,0,2013.0,2014,0.5,0-2,3,1.3862943611198906
P00001222,C3,2013.0,7,0,0,0,2015.0,2019,4.0,3-5,14,2.70805020110221
P00001222,C4,2013.0,7,0,1,1,2020.0,2024,9.0,6-10,9,2.302585092994046
P00001942,C3,2016.0,0,1,1,1,2016.0,2019,1.5,0-2,50,3.9318256327243257
P00001942,C4,2016.0,0,0,0,0,2020.0,2024,6.0,6-10,61,4.127134385045092
P00001948,C2,2012.0,0,1,0,0,2012.0,2014,1.0,0-2,28,3.367295829986474
P00001948,C3,2012.0,0,0,1,1,2015.0,2019,5.0,3-5,59,4.0943445622221
P00001948,C4,2012.0,0,0,1,1,2020.0,2024,10.0,6-10,61,4.127134385045092
P00001949,C3,2017.0,-1,1,1,1,2017.0,2019,1.0,0-2,36,3.6109179126442243
P00001949,C4,2017.0,-1,0,0,0,2020.0,2024,5.0,3-5,79,4.382026634673881
P00001961,C3,2017.0,5,1,1,1,2017.0,2019,1.0,0-2,2,1.0986122886681098
P00001961,C4,2017.0,5,0,0,0,2020.0,2024,5.0,3-5,3,1.3862943611198906
P00001962,C2,2014.0,-1,1,0,0,2014.0,2014,0.0,0-2,13,2.6390573296152584
P00001962,C3,2014.0,-1,0,1,1,2015.0,2019,3.0,3-5,66,4.204692619390966
P00001962,C4,2014.0,-1,0,0,0,2020.0,2024,8.0,6-10,79,4.382026634673881
P00001966,C3,2016.0,-1,1,1,1,2016.0,2019,1.5,0-2,50,3.9318256327243257
P00001966,C4,2016.0,-1,0,1,1,2020.0,2024,6.0,6-10,79,4.382026634673881
P00001969,C1,2004.0,-1,1,0,0,2004.0,2009,2.5,3-5,7,2.0794415416798357
P00001969,C2,2004.0,-1,0,0,0,2010.0,2014,8.0,6-10,57,4.060443010546419
P00001969,C3,2004.0,-1,0,1,1,2015.0,2019,13.0,11+,66,4.204692619390966
P00001969,C4,2004.0,-1,0,0,0,2020.0,2024,18.0,11+,79,4.382026634673881
P00001972,C2,2014.0,0,1,0,0,2014.0,2014,0.0,0-2,8,2.1972245773362196
P00001972,C3,2014.0,0,0,2,1,2015.0,2019,3.0,3-5,59,4.0943445622221
P00001972,C4,2014.0,0,0,0,0,2020.0,2024,8.0,6-10,61,4.127134385045092
P00001973,C1,2006.0,4,1,0,0,2006.0,2009,1.5,0-2,1,0.6931471805599453
P00001973,C2,2006.0,4,0,0,0,2010.0,2014,6.0,6-10,5,1.791759469228055
P00001973,C3,2006.0,4,0,1,1,2015.0,2019,11.0,11+,12,2.5649493574615367
P00001973,C4,2006.0,4,0,0,0,2020.0,2024,16.0,11+,5,1.791759469228055
P00001974,C1,2002.0,0,1,0,0,2002.0,2009,3.5,3-5,16,2.833213344056216
P00001974,C2,2002.0,0,0,1,1,2010.0,2014,10.0,6-10,47,3.871201010907891
P00001974,C3,2002.0,0,0,1,1,2015.0,2019,15.0,11+,59,4.0943445622221
P00001974,C4,2002.0,0,0,0,0,2020.0,2024,20.0,11+,61,4.127134385045092
P00001977,C3,2017.0,5,1,2,1,2017.0,2019,1.0,0-2,2,1.0986122886681098
P00001977,C4,2017.0,5,0,0,0,2020.0,2024,5.0,3-5,3,1.3862943611198906
P00001978,C1,2008.0,-1,1,0,0,2008.0,2009,0.5,0-2,7,2.0794415416798357
P00001978,C2,2008.0,-1,0,0,0,2010.0,2014,4.0,3-5,57,4.060443010546419
P00001978,C3,2008.0,-1,0,1,1,2015.0,2019,9.0,6-10,66,4.204692619390966
P00001978,C4,2008.0,-1,0,0,0,2020.0,2024,14.0,11+,79,4.382026634673881
P00001985,C2,2014.0,0,1,0,0,2014.0,2014,0.0,0-2,8,2.1972245773362196
P00001985,C3,2014.0,0,0,1,1,2015.0,2019,3.0,3-5,59,4.0943445622221
P00001985,C4,2014.0,0,0,0,0,2020.0,2024,8.0,6-10,61,4.127134385045092
P00001987,C3,2017.0,4,1,1,1,2017.0,2019,1.0,0-2,8,2.1972245773362196
P00001987,C4,2017.0,4,0,0,0,2020.0,2024,5.0,3-5,5,1.791759469228055
P00001996,C2,2013.0,-1,1,0,0,2013.0,2014,0.5,0-2,27,3.332204510175204
P00001996,C3,2013.0,-1,0,1,1,2015.0,2019,4.0,3-5,66,4.204692619390966
P00001996,C4,2013.0,-1,0,0,0,2020.0,2024,9.0,6-10,79,4.382026634673881
P00002007,C1,1993.0,0,1,0,0,1993.0,2009,8.0,6-10,17,2.8903717578961645
P00002007,C2,1993.0,0,0,0,0,2010.0,2014,19.0,11+,47,3.871201010907891
P00002007,C3,1993.0,0,0,1,1,2015.0,2019,24.0,11+,59,4.0943445622221
P00002007,C4,1993.0,0,0,0,0,2020.0,2024,29.0,11+,61,4.127134385045092
P00002008,C2,2014.0,-1,1,0,0,2014.0,2014,0.0,0-2,13,2.6390573296152584
P00002008,C3,2014.0,-1,0,1,1,2015.0,2019,3.0,3-5,66,4.204692619390966
P00002008,C4,2014.0,-1,0,0,0,2020.0,2024,8.0,6-10,79,4.382026634673881
P00002015,C3,2015.0,-1,1,1,1,2015.0,2019,2.0,0-2,66,4.204692619390966
P00002015,C4,2015.0,-1,0,0,0,2020.0,2024,7.0,6-10,79,4.382026634673881
P00002068,C2,2014.0,0,1,0,0,2014.0,2014,0.0,0-2,8,2.1972245773362196
P00002068,C3,2014.0,0,0,1,1,2015.0,2019,3.0,3-5,59,4.0943445622221
P00002068,C4,2014.0,0,0,0,0,2020.0,2024,8.0,6-10,61,4.127134385045092
P00002072,C2,2010.0,0,1,0,0,2010.0,2014,2.0,0-2,47,3.871201010907891
P00002072,C3,2010.0,0,0,1,1,2015.0,2019,7.0,6-10,59,4.0943445622221
P00002072,C4,2010.0,0,0,0,0,2020.0,2024,12.0,11+,61,4.127134385045092
P00002074,C3,2015.0,1,1,1,1,2015.0,2019,2.0,0-2,4,1.6094379124341003
P00002074,C4,2015.0,1,0,0,0,2020.0,2024,7.0,6-10,9,2.302585092994046
P00002075,C3,2017.0,0,1,1,1,2017.0,2019,1.0,0-2,36,3.6109179126442243
P00002075,C4,2017.0,0,0,0,0,2020.0,2024,5.0,3-5,61,4.127134385045092
P00002076,C3,2015.0,0,1,1,1,2015.0,2019,2.0,0-2,59,4.0943445622221
P00002076,C4,2015.0,0,0,0,0,2020.0,2024,7.0,6-10,61,4.127134385045092
P00002077,C3,2016.0,0,1,2,1,2016.0,2019,1.5,0-2,50,3.9318256327243257
P00002077,C4,2016.0,0,0,0,0,2020.0,2024,6.0,6-10,61,4.127134385045092
P00002082,C3,2017.0,9,1,1,1,2017.0,2019,1.0,0-2,3,1.3862943611198906
P00002082,C4,2017.0,9,0,0,0,2020.0,2024,5.0,3-5,5,1.791759469228055
P00002088,C2,2011.0,25,1,0,0,2011.0,2014,1.5,0-2,0,0.0
P00002088,C3,2011.0,25,0,1,1,2015.0,2019,6.0,6-10,1,0.6931471805599453
P00002088,C4,2011.0,25,0,0,0,2020.0,2024,11.0,11+,0,0.0
P00002090,C3,2016.0,9,1,1,1,2016.0,2019,1.5,0-2,3,1.3862943611198906
P00002090,C4,2016.0,9,0,0,0,2020.0,2024,6.0,6-10,5,1.791759469228055
P00002091,C3,2017.0,9,1,1,1,2017.0,2019,1.0,0-2,3,1.3862943611198906
P00002091,C4,2017.0,9,0,0,0,2020.0,2024,5.0,3-5,5,1.791759469228055
P00002092,C2,2011.0,9,1,0,0,2011.0,2014,1.5,0-2,2,1.0986122886681098
P00002092,C3,2011.0,9,0,1,1,2015.0,2019,6.0,6-10,5,1.791759469228055
P00002092,C4,2011.0,9,0,0,0,2020.0,2024,11.0,11+,5,1.791759469228055
P00002093,C2,2013.0,-1,1,0,0,2013.0,2014,0.5,0-2,27,3.332204510175204
P00002093,C3,2013.0,-1,0,1,1,2015.0,2019,4.0,3-5,66,4.204692619390966
P00002093,C4,2013.0,-1,0,0,0,2020.0,2024,9.0,6-10,79,4.382026634673881
P00002096,C2,2014.0,9,1,0,0,2014.0,2014,0.0,0-2,0,0.0
P00002096,C3,2014.0,9,0,1,1,2015.0,2019,3.0,3-5,5,1.791759469228055
P00002096,C4,2014.0,9,0,0,0,2020.0,2024,8.0,6-10,5,1.791759469228055
P00002098,C3,2017.0,25,1,1,1,2017.0,2019,1.0,0-2,0,0.0
P00002098,C4,2017.0,25,0,0,0,2020.0,2024,5.0,3-5,0,0.0
P00002099,C3,2017.0,9,1,1,1,2017.0,2019,1.0,0-2,3,1.3862943611198906
P00002099,C4,2017.0,9,0,0,0,2020.0,2024,5.0,3-5,5,1.791759469228055
P00002100,C2,2014.0,-1,1,0,0,2014.0,2014,0.0,0-2,13,2.6390573296152584
P00002100,C3,2014.0,-1,0,1,1,2015.0,2019,3.0,3-5,66,4.204692619390966
P00002100,C4,2014.0,-1,0,0,0,2020.0,2024,8.0,6-10,79,4.382026634673881
P00002101,C2,2011.0,9,1,0,0,2011.0,2014,1.5,0-2,2,1.0986122886681098
P00002101,C3,2011.0,9,0,1,1,2015.0,2019,6.0,6-10,5,1.791759469228055
P00002101,C4,2011.0,9,0,0,0,2020.0,2024,11.0,11+,5,1.791759469228055
P00002103,C3,2017.0,9,1,1,1,2017.0,2019,1.0,0-2,3,1.3862943611198906
P00002103,C4,2017.0,9,0,0,0,2020.0,2024,5.0,3-5,5,1.791759469228055
P00002114,C3,2015.0,9,1,1,1,2015.0,2019,2.0,0-2,5,1.791759469228055
P00002114,C4,2015.0,9,0,0,0,2020.0,2024,7.0,6-10,5,1.791759469228055
P00002298,C2,2013.0,2,1,0,0,2013.0,2014,0.5,0-2,5,1.791759469228055
P00002298,C3,2013.0,2,0,1,1,2015.0,2019,4.0,3-5,28,3.367295829986474
P00002298,C4,2013.0,2,0,0,0,2020.0,2024,9.0,6-10,10,2.3978952727983707
P00002299,C2,2013.0,2,1,0,0,2013.0,2014,0.5,0-2,5,1.791759469228055
P00002299,C3,2013.0,2,0,1,1,2015.0,2019,4.0,3-5,28,3.367295829986474
P00002299,C4,2013.0,2,0,0,0,2020.0,2024,9.0,6-10,10,2.3978952727983707
P00002300,C2,2014.0,2,1,0,0,2014.0,2014,0.0,0-2,2,1.0986122886681098
P00002300,C3,2014.0,2,0,1,1,2015.0,2019,3.0,3-5,28,3.367295829986474
P00002300,C4,2014.0,2,0,0,0,2020.0,2024,8.0,6-10,10,2.3978952727983707
P00002301,C2,2011.0,1,1,0,0,2011.0,2014,1.5,0-2,3,1.3862943611198906
P00002301,C3,2011.0,1,0,1,1,2015.0,2019,6.0,6-10,4,1.6094379124341003
P00002301,C4,2011.0,1,0,0,0,2020.0,2024,11.0,11+,9,2.302585092994046
P00002303,C2,2012.0,1,1,0,0,2012.0,2014,1.0,0-2,3,1.3862943611198906
P00002303,C3,2012.0,1,0,1,1,2015.0,2019,5.0,3-5,4,1.6094379124341003
P00002303,C4,2012.0,1,0,0,0,2020.0,2024,10.0,6-10,9,2.302585092994046
P00002308,C1,2004.0,2,1,0,0,2004.0,2009,2.5,3-5,4,1.6094379124341003
P00002308,C2,2004.0,2,0,0,0,2010.0,2014,8.0,6-10,10,2.3978952727983707
P00002308,C3,2004.0,2,0,1,1,2015.0,2019,13.0,11+,28,3.367295829986474
P00002308,C4,2004.0,2,0,0,0,2020.0,2024,18.0,11+,10,2.3978952727983707
P00002309,C1,2004.0,-1,1,0,0,2004.0,2009,2.5,3-5,7,2.0794415416798357
P00002309,C2,2004.0,-1,0,1,1,2010.0,2014,8.0,6-10,57,4.060443010546419
P00002309,C3,2004.0,-1,0,3,1,2015.0,2019,13.0,11+,66,4.204692619390966
P00002309,C4,2004.0,-1,0,0,0,2020.0,2024,18.0,11+,79,4.382026634673881
P00002310,C1,2007.0,6,1,0,0,2007.0,2009,1.0,0-2,0,0.0
P00002310,C2,2007.0,6,0,0,0,2010.0,2014,5.0,3-5,0,0.0
P00002310,C3,2007.0,6,0,1,1,2015.0,2019,10.0,6-10,2,1.0986122886681098
P00002310,C4,2007.0,6,0,0,0,2020.0,2024,15.0,11+,1,0.6931471805599453
P00002311,C1,2007.0,2,1,0,0,2007.0,2009,1.0,0-2,3,1.3862943611198906
P00002311,C2,2007.0,2,0,0,0,2010.0,2014,5.0,3-5,10,2.3978952727983707
P00002311,C3,2007.0,2,0,1,1,2015.0,2019,10.0,6-10,28,3.367295829986474
P00002311,C4,2007.0,2,0,0,0,2020.0,2024,15.0,11+,10,2.3978952727983707
P00002317,C1,2005.0,2,1,0,0,2005.0,2009,2.0,0-2,3,1.3862943611198906
P00002317,C2,2005.0,2,0,0,0,2010.0,2014,7.0,6-10,10,2.3978952727983707
P00002317,C3,2005.0,2,0,1,1,2015.0,2019,12.0,11+,28,3.367295829986474
P00002317,C4,2005.0,2,0,0,0,2020.0,2024,17.0,11+,10,2.3978952727983707
P00002319,C2,2012.0,-1,1,0,0,2012.0,2014,1.0,0-2,39,3.6888794541139363
P00002319,C3,2012.0,-1,0,3,1,2015.0,2019,5.0,3-5,66,4.204692619390966
P00002319,C4,2012.0,-1,0,1,1,2020.0,2024,10.0,6-10,79,4.382026634673881
P00002525,C2,2013.0,-1,1,0,0,2013.0,2014,0.5,0-2,27,3.332204510175204
P00002525,C3,2013.0,-1,0,3,1,2015.0,2019,4.0,3-5,66,4.204692619390966
P00002525,C4,2013.0,-1,0,0,0,2020.0,2024,9.0,6-10,79,4.382026634673881
P00002529,C2,2013.0,2,1,0,0,2013.0,2014,0.5,0-2,5,1.791759469228055
P00002529,C3,2013.0,2,0,1,1,2015.0,2019,4.0,3-5,28,3.367295829986474
P00002529,C4,2013.0,2,0,0,0,2020.0,2024,9.0,6-10,10,2.3978952727983707
P00002532,C2,2013.0,2,1,0,0,2013.0,2014,0.5,0-2,5,1.791759469228055
P00002532,C3,2013.0,2,0,5,1,2015.0,2019,4.0,3-5,28,3.367295829986474
P00002532,C4,2013.0,2,0,1,1,2020.0,2024,9.0,6-10,10,2.3978952727983707
P00002534,C2,2012.0,-1,1,0,0,2012.0,2014,1.0,0-2,39,3.6888794541139363
P00002534,C3,2012.0,-1,0,2,1,2015.0,2019,5.0,3-5,66,4.204692619390966
P00002534,C4,2012.0,-1,0,0,0,2020.0,2024,10.0,6-10,79,4.382026634673881
P00002535,C3,2015.0,-1,1,1,1,2015.0,2019,2.0,0-2,66,4.204692619390966
P00002535,C4,2015.0,-1,0,0,0,2020.0,2024,7.0,6-10,79,4.382026634673881
P00002541,C2,2011.0,2,1,0,0,2011.0,2014,1.5,0-2,9,2.302585092994046
P00002541,C3,2011.0,2,0,2,1,2015.0,2019,6.0,6-10,28,3.367295829986474
P00002541,C4,2011.0,2,0,0,0,2020.0,2024,11.0,11+,10,2.3978952727983707
P00002670,C1,2008.0,7,1,0,0,2008.0,2009,0.5,0-2,3,1.3862943611198906
P00002670,C2,2008.0,7,0,1,1,2010.0,2014,4.0,3-5,13,2.6390573296152584
P00002670,C3,2008.0,7,0,1,1,2015.0,2019,9.0,6-10,14,2.70805020110221
P00002670,C4,2008.0,7,0,0,0,2020.0,2024,14.0,11+,9,2.302585092994046
P00002681,C2,2013.0,0,1,0,0,2013.0,2014,0.5,0-2,20,3.044522437723423
P00002681,C3,2013.0,0,0,1,1,2015.0,2019,4.0,3-5,59,4.0943445622221
P00002681,C4,2013.0,0,0,0,0,2020.0,2024,9.0,6-10,61,4.127134385045092
P00002781,C1,2007.0,2,1,0,0,2007.0,2009,1.0,0-2,3,1.3862943611198906
P00002781,C2,2007.0,2,0,0,0,2010.0,2014,5.0,3-5,10,2.3978952727983707
