paper_uid_after_direct_w,ref_title,ref_author,ref_publisher_or_journal,ref_year
P00075033,유로자본주의의 형성에 대한 조절이론적 설명,구춘권,국제정치논총,2008
P00075034,유럽연합과 국가성의 전환: 조절이론의 네오그람시안적 확장을 통한 접근,구춘권,국제정치논총,2004
P00075035,유럽연합의 화폐통합에 대한 네오그람시안적 접근: 팍스 아메리카나의 위기와 유럽의 신자유주의적 재편,구춘권,국제정치논총,2002
P00048369,"경제통합, 주권, 그리고 민주주의: 재정위기와 유럽연합의 민주적 결핍",김미경,한국정치학회보,2012
P00075036,자본주의 다양성과 유로체제 - 신자유주의적 유럽통합의 경제사회적 결과,김인춘,사회과학연구,2015
P00075037,유럽연합-터키 관계와 EU 이주∙난민정책 외재화의 문제점,박선희,국제지역연구,2017
P00075038,"글로벌 금융위기, 유로존 재정위기, 유럽통합의 심화",최진우,한국과 국제정치,2012
P00075039,유럽 통합과정과 사회정책,이호근,한국정치학회보,2000
P00032278,국가와 공공선,김경희,공동선: 절대선과 개별선 사이의 마키아벨리,정치사상연구
P00075069,연구노트: 막스 베버의 법의 개념,김도현,법과 사회,1999
P00032477,아렌트의 ‘정치적’ 헌정주의,김비환,한국정치학회보,2007
P00075070,칸트와 하버마스에 있어서 도덕과 법,김석수,철학연구,2004
P00075071,온정주의 정치문화와 권위주의 통치의 정당성,박종민,한국정치학회보,1996
P00032480,정치에서의 권위문제- 한나 아렌트의 권위개념에 관한 고찰,박혁,21세기정치학회보,2009
P00064573,정치권위의 정당화: 도구주의와 민주주의에 대한 비판적 분석,신봉수,한국정치학회보,2014
P00075072,"중국공산당의 정치권위: 형성, 변화, 그리고 전망",신봉수,한국정치학회보,2015
P00031277,"정당성 정치의 구조와 동학: 막스 베버 정치사회학의 관계론적, 행위론적 재구성",신진욱,한국사회학,2013
P00028950,근대 자연법사상에 내재된 정치권력의 정당성과 그 현대적 함의: 레오 스트라우스의 관점을 중심으로,안정석,21세기정치학회보,2010
P00029274,합법성과 정당성,양천수,영남법학,2007
P00075073,공리주의 대 자연권 - 프랑스 혁명과 자연권에 대한 벤담의 평가,이상영,세계헌법연구,2010
P00075074,사회규범의 공공성에 관한 법가의 인식(2): 한비자(韓非子)의 ‘인·의’(仁·義) 비판에 대한 유가의 응답,이승환,시대와 철학,2003
P00031471,결과주의와 동기주의의 대결,이승환,동양철학,1993
P00028436,公(public)·共(common) 개념과 중국 秦·漢 정부의 재발견 : 禮·法의 분화와 결합,장현근,정치사상연구,2010
P00030928,선진정치사상에서 ‘법’의 의미,장현근,한국정치학회보,1994
P00075075,최근 법실증주의의 전개와 자연법론과의 관계,최봉철,법철학연구,2010
P00038716,‘선군시대 경제건설노선’의 형성과 변화 과정 연구,김성주,통일연구,2012
P00037327,북한의 관료부패와 지배구조의 변동 : ‘고난의 행군’ 기간 이후를 중심으로,김종욱,통일정책연구,2008
P00075111,북한 인민보안원과 주민의 관계 연구 - 2009년 화폐개혁 직전부터~2015까지를 중심으로,곽명일,현대북한연구,2016
P00075112,북한경제 재생산구조의 전개와 정치변화 - 선군정치경제의 시원을 중심으로,권오국,북한학연구,2011
P00075114,시장경제와 계획경제의 ‘동조화’ 현상,동용승,북한,2016
P00075115,선군시대 경제건설 로선의 정당성,리기성,국제고려학회논문집,2007
P00059089,선군시대 경제건설 로선에서 국방공업의 위치와 역할,리춘일,경제연구,2010
P00075116,현 시기 경제사업에서 실리보장의 중요성,박재영,경제연구,2001
P00075117,과거와 미래의 혼합물로서의 북한경제 -잉여 점유 및 경제조정기제의 다양화와 7개 구획구조,박형중,북한연구학회보,2009
P00075121,북의 선군정치를 어떻게 이해할 것인가 문화적 해석을 중심으로,신은희,남북문화예술연구,2007
P00044602,1990년대 이후 북한의 기업지배구조 변화: 제도경제학적 접근,양문수,통일정책연구,2006
P00075122,분권화의 관점에서 본 북한의 시장현황과 전망,양운철,세종정책연구,2009
P00075123,최근 북한의 기업관리 체계 개편의 특징과 방향,오강수,나라경제,2000
P00075124,"1990년대 이후 북한 경제체제의 특징과 위기: 계획화 체계의 약화, 자발적 시장화와 기업지배구조의 변화를 중심으로",이석기,동향과 전망,2004
P00037767,"북한 시장 활성화의 숨은 그림, 국영기업의 역할",임강택,KDI 북한경제리뷰,2016
P00036445,북한에서 시장의 활용과 통제: 계륵의 시장,정영철,현대북한연구,2009
P00075127,김정은 시대 북한경제의 현황과 과제,조영기,나라경제,2013
P00075128,김정은 통치자금과 북한 외화벌이 실상,조영기,북한,2016
P00037336,북한에서 '선군'의 등장과 선군사상이 갖는 함의에 관한 연구,진희관,국제정치논총,2008
P00075129,북한 경제의 동학(動學)과 잉여의 동선(動線):특권경제를 중심으로,차문석,통일문제연구,2009
P00075130,7.1경제개선조치 관련 ‘실리 사회주의’ 강조,통일부,주간 북한동향,2002
P00075133,북한의 시장단속과 악화된 주민생활,한영진,북한,2008
P00075135,현 시기 무현금결제를 통한 통제를 강화하는데서 제기되는 몇 가지 문제,홍영의,김일성종합대학 학보(철학·경제),2004
P00075140,"정치참여 수단으로서 댓글의 역할과 의미, 그리고 한계: 비선거 시기 온라인 및 SNS 뉴스 댓글에 대한 인식과 활동의 비교를 중심으로",김동윤,사이버커뮤니케이션학보,2015
P00068157,"정치적 태도 극화 및 적대감 증가 요인과 그 결과에 대한 탐색 연구: 커뮤니케이션 변인, 정치참여, 사회자본을 중심으로",김하늬,정치커뮤니케이션연구,2016
P00075141,한국인의 인터넷 댓글을 통한 정치참여에 대한 연구: 정치성향 및 인구통계학적 특성을 중심으로,김학량,인문사회과학연구,2016
P00023454,댓글 읽기,나은경,"쓰기를 통한 온라인 소통이대의민주주의 사회에서 갖는 의미 : 인터넷 뉴스 댓글 이용과 사회신뢰, 정치신뢰, 언론신뢰, 그리고 정치지식",한국언론학보
P00075142,세계 온라인 댓글 연구: 댓글은 여전히 중요한가?,류동협,신문과방송,2016
P00075143,전자정부 웹사이트 이용 상의 정치적 선택성에 관한 연구,최연태,한국정책학회보,2011
P00075144,한국의 온라인 정치참여 특성: 수요자 중심 모델을 중심으로,윤성이,정보화정책,2007
P00075145,"댓글의 논조, 숫자, 사전 태도가 이슈의 합의추정에 미치는 영향",이미나,사이버커뮤니케이션학보,2010
P00055925,"정당, 미디어, 그리고 정치적 선호: 6.4 서울시장 선거 유권자의 선택적 미디어 노출과 정치적 태도",이소영,21세기정치학회보,2014
P00075146,한국 선거에서의 미디어 매개효과,이소영,한국정치학회보,2015
P00063760,"지각된 편향인가 편향된 지각인가? 댓글의 내용, 여론에 대한 인식과 이슈 관여도에 따른기사의 논조 지각",이은주,한국언론학보,2011
P00075147,20대 총선과 미디어 효과 그리고 유권자의 여론조사에 대한 인식,이재묵,21세기정치학회보,2016
P00066828,SNS 사용과 지역주의 투표 : 제20대 국회의원 선거를 중심으로,이재묵,한국정치학회보,2017
P00075148,기술사용에 대한 태도 변화에 영향을 미치는 요인들에 관한 종단적 연구: 개인의 주관적 판단과 사회적 영향을 중심으로,이재신,한국언론학보,2006
P00075149,개인의 정치성향이 뉴스 댓글에 대한 신뢰성과 사회적 영향력의 인식에 미치는 영향,이준기,한국전자거래학회지,2012
P00075150,인터넷에서의 표현의 자유와 익명 표현,장성호,지역과 세계,2013
P00075151,온라인 미디어에서의 댓글이 여론에 미치는 영향에 관한 연구 : 여론동향 지각과 제3자 효과를 중심으로,정일권,한국언론학보,2006
P00075154,선별적 미디어 이용 행위와 이념 극화 연구,김정연,동서연구,2016
P00075155,인터넷 포털뉴스 댓글의 여론형성 과정과 특성에 관한 연구,최동성,정치커뮤니케이션연구,2008
P00009269,한국 유권자의 이념성향 : 통일의 필요성 인식에 미치는 효과에 관한 사례분석,한정훈,한국정치학회보,2016
P00075156,인터넷 이용자의 여론 지각과 의견 표현-현실공간과 사이버공간의 비교,한혜경,한국언론정보학보,2003
P00075176,정치적 자기효능감 척도(PSES) 제작 및 타당화 연구,강수영,한국언론학보,2013
P00075178,온라인 정보원의 유형별 신뢰지수 및 신뢰성 평가요인,김영기,정보관리학회지,2010
P00009665,인정을 위한 저항 : 태극기집회의 감정동학,김진욱,한국정치학회보,2018
P00075179,전통적 미디어에 대한 신뢰가 정치적 참여에 미치는 영향,김현정,언론과학연구,2015
P00025331,"인터넷 집단극화를 결정하는 요인들: 공론장 익명성과 네트워크 군중성 및 개인적, 문화적 요인을 중심으로",나은영,한국심리학회지: 사회및성격,2012
P00036627,‘가짜뉴스효과’의 조건: 2017년 대통령 선거에서 나타난 ‘가짜뉴스효과’의 견인 및 견제 요인,노성종,사이버커뮤니케이션학보,2017
P00075180,2016년-2017년 촛불집회 참여가시민성에 미친 영향력 분석,도묘년,한국지방자치연구,2017
P00021511,감정과 정치참여,민희,한국정치학회보,2016
P00055920,"왜 SNS에서 정치 양극화가 지속되는가? - 의사소통 대상, SNS 정보 신뢰도, 타인 신뢰도를 중심으로",박상운,사회과학연구,2014
P00055550,미디어 신뢰도가 정치효능감과 투표행위에 미치는 영향에 관한 연구: 대학생의 정치참여행위를 중심으로,박상호,한국언론학보,2005
P00075181,정보의 신뢰와 전달 요인에 대한 연구: 정보 이용 경험과 사회적 신뢰를 중심으로,신창선,정보사회와 미디어,2016
P00056407,정보기술의 정치적 제도화: NEIS 도입 사례를 중심으로,장우영,한국정치학회보,2004
P00075183,사이버공간의 이념과 정치: 한국 사이버공론장의 구조 변동,장우영,한국과 국제정치,2006
P00055558,미디어 이용량과 선호 콘텐츠 유형이미디어 신뢰도에 미치는 영향: 전통적 미디어와 뉴미디어를 아우르며,하승태,한국언론학보,2011
P00075184,인터넷 여론조작과 숙의적 정치커뮤니케이션,한수경,정치와 평론,2014
P00075185,가짜뉴스의 개념화와 규제수단에 관한 연구 ― 인터넷서비스사업자의 자율규제를 중심으로 ―,황용석,언론과 법,2017
P00024105,경제정책에 대한 인식과 주택소유 형태가 투표불참에 미치는 영향 연구: 18대 총선의 경우,강우진,한국정당학회보,2012
P00022933,제18대 대선과 경제투표: 경제성장에 대한 정책선호의 일치의 영향력을 중심으로,강우진,한국정치학회보,2013
P00024194,한국인의 복지태도 : 비계급성과 비일관성 문제를 중심으로,김영순,경제와 사회,2011
P00070931,"부동산과 복지국가 : 자산, 부채, 그리고 복지태도",김항기,한국정치학회보,2017
P00055468,부동산 가격 변동과 2000년대의 한국 선거: 지역주의“이후”의 경제투표에 대한 방법론적 탐색,박원호,한국정치연구,2009
P00075218,주거 관련 물질적 이해관계가 복지태도에 미치는 영향: 주거지위와 연관된 주요 변수를 중심으로,안상훈,사회복지정책,2013
P00021653,재산이 계급의식과 투표에 미치는 영향,이갑윤,한국정치연구,2013
P00075219,지역투표현상은 퇴조 하는가: 18대 대통령선거를 중심으로,이남영,현대정치연구,2015
P00022938,제18대 대통령선거와 회고적 투표: 왜 제18대 대통령선거에서 집권정부에 대한 회고적 평가가 중요한 영향을 미치지 못했나?,이내영,한국정당학회보,2013
P00075220,도시지역의 자가점유율과 투표율의 관계에 관한 연구: 2010년 지방선거를 중심으로,이소정,국토연구,2014
P00023440,17대 대통령 선거에서의 경제투표,이재철,현대정치연구,2008
P00002529,경제민주화와 제18대 대선: 쟁점 투표(Issue Voting)와 정치지식(Political Knowledge),장승진,한국정당학회보,2013
P00075221,"한국의 자영업자는 어떤 정책을 선호하는가? :2007, 2012 대선의 경험적 분석",최종호,한국정치학회보,2016
P00002525,"2012년 대선, 가난한 이들은 왜 보수정당을 지지했는가?",한귀영,동향과 전망,2013
P00054111,2002년 지방선거의 정치적 의미: 중간평가 혹은 대선 전초전?,강원택,한국정치연구,2006
P00024534,한국 유권자의 투표결정시기에 관한 연구: 제18대 대통령선거에 나타난 상층적 유권자 분석을 중심으로,김연숙,한국정당학회보,2014
P00060694,정당일체감에 따른 인식의 양극화:기제와 완충요인을 중심으로,김장수,국제정치논총,2005
P00023234,지방선거의 역사적 의미와 6.2지방선거 분석 : 서울시장 선거사례 분석,김진하,한국정당학회보,2010
P00075227,"부동층은 누구인가?: 2012년 총선 및 대선, 2014년 지방선거 비교 분석",류재성,평화연구,2014
P00075228,한국 부동층의 특성에 관한 연구: 민주화 이후 각 선거에서 미결정 부동층을 중심으로,문은영,한국정당학회보,2017
P00022405,정당 호감도와 회고적 평가: 2014년 지방선거를 중심으로,오현주,한국정당학회보,2014
P00025093,상충적 태도의 유권자(Ambivalent Voters):미국 대통령 선거에서 제3후보에 대한 지지를 중심으로,유성진,한국정치학회보,2007
P00070874,2006년 지방선거의 유동투표자 분석: 패널 자료를 바탕으로,이현우,국가전략,2007
P00025098,정당 태도갈등이 투표행위 변동에 미치는 영향: 18대 총선 및 19대 총선 패널조사(KEPS) 데이터 분석을 중심으로,정한울,한국정당학회보,2013
P00021597,"부동층에 관한 연구: 19대 총선에서 정당선호, 선거쟁점과 투표 결정시기",조성대,한국정치학회보,2013
P00075234,"한국인의 복지정책 선호에 관한 연구: 성장과 분배, 선별과 보편을 중심으로",김수완,사회보장연구,2014
P00075235,한국인의 복지태도에서 성별 격차,김수정,여성학연구,2015
P00024194,한국인의 복지태도 : 비계급성과 비일관성 문제를 중심으로,김영순,경제와 사회,2011
P00024195,한국의 복지태도의 정치적 역동성: 탈계급성과 정치적 기회의 재평가,김윤태,한국학연구,2013
P00070931,"부동산과 복지국가 : 자산, 부채, 그리고 복지태도",김항기,한국정치학회보,2017
P00009258,한국 선거에서의 세대 효과: 1997년부터 2012년까지의 대선을 중심으로,노환희,한국정당학회보,2013
P00075236,한국의 중간층은 어떤 복지국가를 원하는가? 중간층의 복지태도와 복지국가 전망에의 함의,여유진,한국정치학회보,2015
P00071746,한국사회 복지의식의 특성과 결정요인:국가의 복지책임지지도를 중심으로,이성균,한국사회학,2002
P00054055,누가 언제 재분배 정책을 선호하는가?: 한국의 거시경제 상황과 정책무드,이승희,국가전략,2009
P00075237,세대별 고용형태에 따른 복지국가 만족도 및 선호 비교,이주희,경제와 사회,2014
P00075238,소득-자산의 다중격차 ― 소득-자산의 결합분포를 중심으로 ―,전병유,경제발전연구,2014
P00024206,소득분배의 불평등과 기회 불평등 인식이 한국인들의 재분배정책 선호에 끼치는 영향력,조정인,정치·정보연구,2014
P00009271,"세대와 생애주기, 그리고 투표선택: 1992∼2012 대통령선거 분석",허석재,한국과 국제정치,2014
P00075259,마키아벨리의 비르투 재생전략 연구: 우모리와 행동양식을 중심으로,김경희,한국정치학회보,2014
P00031645,마키아벨리 [피렌체사(Istorie Fiorentine)] 읽기 : 파벌과 인민형성,신철희,정치사상연구,2012
P00075266,플라톤에서 ‘신(神)을 닮음’의 윤리적 의미,김영균,서양고전학연구,2017
P00029516,플라톤과 루소의 시민교육론 연구 : 법률과 에밀을 중심으로,김용민,한국정치학회보,2017
P00030568,"아테네, 플라톤, 민주주의: 플라톤의 아테네 정치 비판의 역사적 맥락과 철학적 맥락",박수인,한국정치연구,2017
P00075267,플라톤과 여성 철인왕,서병훈,아시아여성연구,2002
P00075268,플라톤의 『국가』에 대한 아리스토텔레스의 비판,송대현,철학사상,2012
P00075277,2007-08년 금융위기 이후 미국의 동아시아 전략: 미국 헤게모니의 변화를 중심으로,공민석,국방연구,2018
P00074676,"소유(Property), 현대금융, 그리고 그 위기: 21세기 현대금융을 정치적 현상으로 이해하기",김종철,한국정치학회보,2015
P00075329,국가 제도의 자유민주주의적 정체성과 헌법개정의 방향,강경근,제도와 경제,2008
P00075330,헌법상 경제조항에 대한 개정론,김성수,공법연구,2006
P00060081,1948년 건국헌법에 나타난 혼합적 권력구조의 기원 ― 미군정기와 제헌국회의 헌법안 및 헌법논의를 중심으로 ―,김성호,헌법학연구,2009
P00075332,현행헌법에 있어서 경제민주화의 제도화에 관한 연구,김형성,헌법학연구,2013
P00075333,한국헌법과 바이마르 헌법,김효전,공법연구,1986
P00075335,"헌법, 국가의제, 그리고 대통령 리더십:'건국 헌법'과 '전후 헌법'의 경제조항 비교를 중심으로",박명림,국제정치논총,2008
P00075336,1946년 미군정의 여론조사에 나타난 한국인의 사회인식,박명수,한국정치외교사논총,2018
P00074217,시민사회의 헌법 구상과 건국헌법에의 영향(1946-1947): 해방후 시민사회헌법안‧미소공위답신안 제정을 중심으로,서희경,한국동양정치사상사연구,2007
P00067224,민주공화주의와 대한민국 헌법 이념의 형성,서희경,한국학,2007
P00075337,대한민국 경제헌법사 소고-편제와 내용의 연속성의 관점에서-,성낙인,서울대학교 법학,2013
P00075338,미군정 여론조사로 본 한국의 정치ㆍ사회동향(1945-1947),송재경,한국사론,2014
P00075339,대한민국 제헌헌법 경제조항 상의 國ㆍ公有化 실황,신용옥,사림,2008
P00075340,제헌헌법의 사회ㆍ경제질서 구성 이념,신용옥,한국사연구,2009
P00075341,대한민국 제헌헌법상 경제질서의 사회국가적 성격 검토,신용옥,사림,2014
P00074191,헌법제정의 유래,유진오,사상계,1958
P00075342,미군정기의 과도입법의원과 조선임시약헌,이경주,법사학연구,2001
P00075343,「권승렬안」에 관한 연구,이영록,법과사회,2003
P00075344,제헌헌법상 경제조항의 이념과 그 역사적 기능,이영록,헌법학연구,2013
P00070739,제헌의회의 헌법구상,전광석,법학연구,2005
P00075346,헌법상 경제질서에 대한 개정방안,정영화,세계헌법연구,2010
P00075348,헌법상 경제질서와 경제민주주의에 대한 고찰,조규범,유럽헌법연구,2016
P00075349,제헌헌법과 제2차 개정헌법의 경제조항에 대한 고찰,조지은,서강법률논총,2015
P00075350,제헌헌법 ‘제6장 경제’ 편의 형성과정과 그것의 의미,황승흠,법사학연구,2004
P00075352,中宗代 ‘灼鼠의 變’과 政治的 陰謀의 성격,金燉,한국사연구,2002
P00075353,"조선시대 성균관 유생의 권당(捲堂)·공관(空館) 연구 : 개념과 기원, 절차와 군주의 대응, 현황과 문제점을 중심으로",김영주,언론과학연구,2008
P00074500,퇴계 ‘칭병시’의 DB화를 통한 유형 분류와 분석,김원준,퇴계학논집,2013
P00075354,退溪政治道義실현과 聖君의 역할,柳星烈,퇴계학 연구,1996
P00075355,李退溪詩趣硏究-疾病詩를 중심으로-,李秀雄,통일문학,1995
P00075356,退溪哲學의 養生思想에 관한 硏究,李鎭洙,道敎文化硏究,1992
P00075358,이황 문학에서 ‘疾病’의 의미,신연우,열상고전연구,2003
P00075355,李退溪詩趣硏究- 疾病詩를 중심으로,李秀雄,통일인문학,1995
P00074508,퇴계의 질병에 대한 고찰,전세영,퇴계학논총,2017
P00075362,明宗代垂簾聽政期의 ‘勳戚政治’ 成立과 運營構造,한춘순,한국사연구,1999
P00030900,德治와 法治: 양자의 兼全 필요성을 중심으로,강정인,정치사상연구,2002
P00068910,조선의 과거사 정리담론: 4대 사화를 중심으로,강정인,한국정치연구,2014
P00029616,朝鮮 初期 儒敎的 立憲主義의 諸要素와 構造: 憲法要素의 化肉身으로서의 君主와 權力構造의 相互作用,김비환,정치사상연구,2008
P00073350,조선시대의 예송과 모랄폴리틱,김상준,한국사회학,2001
P00075366,조선의 '건국'과 '정치체제'구상에 대한 시론적 접근: 몇 가지 쟁점과 관련하여,김석근,한국동양정치사상사연구,2008
P00075369,"道統과 治統, 聖人과 帝王: 宋 ~ 淸中期의 道統論을 통해본 士大夫社會에서의 君主權",민병희,역사문화연구,2011
P00029618,‘유교적 헌정주의’ 재검토 조선 초기 왕권의 정상화와 ‘헌장주의(憲章主義)’,박홍규,아세아연구,2012
P00031278,동서양 사상에 있어서 政治的 正當性의 비교: 儒家의 공론론과 루소의 일반의지론을 중심으로,이상익,정치사상연구,2004
P00075373,'도통' 개념의 출현과 도학적 도통 관념의 함의,임명희,인문논총,2012
P00030928,선진정치사상에서 ‘법’의 의미,장현근,한국정치학회보,1994
P00075374,조광조의 복권과정과 현량과 문제,정두희,한국사상사학,2001
P00075376,조선전기 정치사건의 처벌과 伸寃― 김종직의 사례를 중심으로 ―,陳商元,역사학보,2003
P00075377,朝鮮中期 道學의 正統系譜 成立과 文廟從祀,진상원,한국사연구,2005
P00075378,선진유교사상에서의 왕권과 입헌주의,진희권,사회사상과 문화,2017
P00075379,정암 조광조(1482-1519)의 도덕적 근본주의와 정치개혁,최연식,한국정치학회보,2003
P00075380,『예기』에 나타난 예의 법제화와 유교입헌주의,최연식,한국정치학회보,2009
P00029631,경국대전이 조선의 헌법인가?,함재학,법철학연구,2004
P00075381,유교전통 안에서의 입헌주의 담론,함재학,법철학연구,2006
P00075382,유교적 입헌주의와 한국의 헌정사,함재학,헌법학연구,2008
P00054811,남아프리카 공화국의 핵무기 개발 및 해체 사례 연구,장성욱,동아시아연구,2005
P00048503,핵폐기 사례연구: 남아프리카공화국 사례의 함의와 한계,한인택,한국과 국제정치,2011
P00031012,민주주의와 공화주의: 헌정체제의 두 가지 원칙,곽준혁,한국정치학회보,2005
P00075403,세계화와 헤게모니,김진영,한국정치학회보,1998
P00075404,한국 자유민주주의의 초상: ‘민주주의 과잉’인가 ‘자유주의 결핍’인가,박찬표,아세아연구,2008
P00022779,포퓰리즘과 민주주의,서병훈,이베로아메리카 연구,2012
P00075405,자유민주주의에서 '자유'와 '민주'의 관계: 슈미트의 논의와 그 비판을 중심으로,이동수,평화연구,2013
P00075406,포스트 민주주의 시대의 정당성 문제: 카를 슈미트의 합법성과 정당성 논의를 중심으로,임운택,경제와 사회,2016
P00075407,"자본의 국제적 유동성, 국가의 정책자율성, 국제협력: 세계금융의 정치경제에 관한 한 시론",정진영,국제정치논총,1997
P00075408,세계금융과 민주주의의 관계에 관한 재고찰: 금융과 정치의 상호작용을 중심으로,정진영,국제정치연구,2013
P00075409,세계금융의 바퀴에 모래 뿌리기: 토빈세,정진영,금융거래세의 정치경제,한국과 국제정치
P00075410,Democracy는 민주주의가 아니라 다수정이다: 공화주의와의 차이를 논하며,최정욱,비교민주주의의 연구,2009
P00075424,뉴스 소비의 변화와 뉴스의 진화 - 포털뉴스와 언론사 뉴스 사이트를 중심으로,김경희,언론정보연구,2012
P00023524,네트워크 개인주의와 시민저항: 2008년 촛불시위를 사례로,장우영,한국정치연구,2010
P00023525,온라인 공론장과 정치참여: 2008년 촛불시위에서의 ‘아고라’,장우영,한국정치연구,2012
P00022934,긍정과 부정의 정치심리학: 정당에 대한 부정적 감정과 정치행태,김연숙,한국정치학회보,2014
P00021594,중도 및 무당파 유권자 특성: 무태도(non-attitudes)인가 부정적 태도(negativity)인가?,류재성,대한정치학회보,2012
P00075446,제 17 대 대통령 선거의 투표선택과 정당태도의 복합 지표,황아란,현대정치연구,2008
P00055868,제19대 국회의원선거와 투표행태: 긍정적ㆍ부정적 정당태도와 회고적ㆍ전망적 평가를 중심으로,황아란,한국과 국제정치,2012
P00010450,지역균열의 변화 가능성에 대한 경험적 고찰: 제17대 국회의원선거에서 나타난 이념과 세대 균열의 효과를 중심으로,최준영,한국정치학회보,2005
P00022270,제19대 국회의원의 이념 성향과 정책 태도,강원택,의정연구,2012
P00060333,계급 ․ 계층이 복지정책에 대한 태도에 미치는 영향과 교육변인의 조절효과 연구,김희자,한국사회정책,2013
P00075461,이념이 조세정책에 미치는 효과에 관한 연구,김진영,한국정책학회보,2011
P00060249,복지태도에 있어서의 세대효과,김영순,한국정당학회보,2017
P00024194,한국인의 복지태도 : 비계급성과 비일관성 문제를 중심으로,김영순,경제와 사회,2011
P00075463,한국의 사회적 위험과 여성: 가족위험 및 노동시장 위험을 중심으로,김영란,한국가족복지학,2015
P00060336,"복지예산 규모에 대한 태도결정에 미치는 요인분석: 복지국가 유형과 정부의 질, 자기이익",이현우,국제정치논총,2013
P00010436,"한국사회 이념갈등의 원인: 국민들의 양극화인가, 정치엘리트들의 양극화인가?",이내영,한국정당학회보,2011
P00010415,한국 유권자 투표행태의 지속과 변화: 통합자료 분석,문우진,한국과 국제정치,2017
P00010420,한국인의 정부역할에 대한 태도,박종민,한국정치학회보,2008
P00002319,한국사회 이념갈등의 구성적 특성,박경미,한국정당학회보,2012
P00021594,중도 및 무당파 유권자 특성: 무태도(non-attitudes)인가 부정적 태도(negativity)인가?,류재성,대한정치학회보,2012
P00024201,복지확대에 대한 국민 중심의 정책평가: 고령자정책 사례를 중심으로,서복경,현대정치연구,2012
P00075472,토마스 홉스: 보수적 이상주의자,김용환,철학과현실,1995
P00075473,홉스의 정치철학과 고전적인 정치철학의 붕괴,나종석,사회와 철학,2003
P00075474,홉스의 사회계약론의 의미와 한계,나종석,헤겔연구,2004
P00075475,"홉스에서의 이성, 국가 그리고 ‘정치적인 것’",나종석,동서인문학,2012
P00075476,윤리의 생물학화 : 자연주의적 오류와 반자연주의적 오류를 넘어서,류지한,倫理硏究,2015
P00075477,홉스의 이성 개념 고찰: 『리바이어던』의 “어리석은 사람” 논의를 중심으로,목광수,철학논총,2012
P00075478,유전자와 도덕사이 : 이타성을 중심으로,정상모,인문논총,2009
P00075479,진화론적 윤리학과 자연주의적 오류,정상모,과학철학,2012
P00075480,윤리학적 비판을 통한 사회생물학의 도덕교육적 문제,추정완,윤리교육연구,2012
P00075481,윤리적 이기주의 연구,최용철,범한철학,2008
P00075482,홉스의 인간이해와 국가,한자경,철학,1991
P00030619,콜버그의 정의 윤리와 길리건의 돌봄 윤리 논쟁에 대한 한 해석: 성차 논쟁을 넘어서,김은희,철학연구,2015
P00075516,돌봄국가: 복지국가의 새로운 지평,김희강,정부학연구,2016
P00075518,돌봄의 공공윤리 : 에바 키테이(Eva F. Kittay) 이론과‘장애아가족 양육지원사업’,김희강,한국정치학회보,2010
P00075519,"공공성과 인정의 정치, 그리고 돌봄의 윤리",남찬섭,한국사회,2012
P00075520,돌봄의 정치적 윤리: 돌봄과 정의의 이원론을 넘어,마경희,한국사회정책,2010
P00075521,보편주의 복지국가와 돌봄 ― 여성주의 복지정치를 위한 시론* ―,마경희,페미니즘연구,2011
P00075522,정의윤리와 배려윤리의 상호 관련성 연구,박병춘,倫理硏究,2013
P00075523,새로운 도덕 패러다임으로서의 보살핌 윤리- 헤크만의 길리건 해석을 중심으로 -,조주영,한국여성철학,2008
P00075524,후기 근대적 위기와 ‘돌봄 국가’적 패러다임 전환을 위한 시론: ‘차가운 근대 cold modern'에서 ’따뜻한 근대 warm modern' 로,조혜정,사회과학논집,2006
P00075525,보살핌의 사회화를 위한 여성주의의 사유,허라금,한국여성학,2006
P00075526,사회적 돌봄정책의 윤리적 패러다임으로서 정의와 중용의 타당성에 관한 탐색적 연구,황보람,비판사회정책,2012
P00075553,대외 언어 보급 정책 비교를 통한 세종학당 활성화 방안 연구 - 중국 공자학원 운영 정책과의 비교를 중심으로,강남욱,새국어교육,2012
P00075554,중국과 대만의 문화외교,고영희,대동철학,2013
P00075556,공공외교와 해외 한국어교육: 인도네시아 사례를 중심으로,김은미,인문사회과학연구,2015
P00075557,"중국에서의 한류콘텐츠 선호가 한국상품 구매, 한국방문 및 한글학습의도에 미치는 영향",김주연,한국콘텐츠학회 논문지,2012
P00075558,한국의 대외문화 정책: 문화교류 및 국가브랜딩 기반 구축을 위한 러시아에서의 세종학당,김형섭,러시아어문학연구논집,2016
P00075559,한국어 국외 활성화 방안에 관한 연구 ― 세종학당을 중심으로 ―,박춘태,인문학연구,2014
P00010142,공공외교의 현황과 우리의 정책 방향,마영삼,Jpi 정책포럼,2011
P00075560,공공외교의 환경변화와 한국의 대응방안,성병욱,대한정치학회보,2013
P00075562,"한국 공공외교의 경제적 효과에 대한 탐색적 분석: 세종학당, 공적개발원조, 지방자치단체 국제교류가 한국의 해외직접투자에 미치는 영향을 중심으로",신가희,세계지역연구논총,2016
P00075563,주한 외국문화원의 언어교육과 세종학당 비교 연구,윤영주,교육문화연구,2016
P00075564,19세기 초 중서(中西) 문화 접촉과 The Chinese Repository ― 기독교 전파 과정에서의 중서(中西) 언어문화 접촉을 중심으로,이보고,중국어문논총,2014
